Courses by Dept w Enrlmt,3774,,,,,,,,,,
Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term2,Title,Tot Enrl,Component,Instructor
16300,Active,8733,MA,132,33,4209,Fall 2020,Calculus II,14,DIS,"Annan,William Ebo"
16300,Active,8743,MA,232,22,4189,Fall 2018,Elementary Differential Eq,19,DIS,"Anthony,Jordan Tyler"
16300,Active,8726,MA,41,1,4172,Spring 2017,Co-Calculus Mathematics,27,LEC,"Appleton,Jay"
16300,Active,8726,MA,41,2,4172,Spring 2017,Co-Calculus Mathematics,22,LEC,"Appleton,Jay"
16300,Active,8726,MA,41,5,4169,Fall 2016,Co-Calculus Mathematics,26,LEC,"Appleton,Jay"
16300,Active,8726,MA,41,7,4169,Fall 2016,Co-Calculus Mathematics,102,LEC,"Appleton,Jay"
16300,Active,8726,MA,41,8,4169,Fall 2016,Co-Calculus Mathematics,46,LEC,"Appleton,Jay"
16300,Active,8733,MA,132,4,4152,Spring 2015,Calculus II,69,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,5,4152,Spring 2015,Calculus II,81,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,1,4156,Summer 2015,Calculus II,2,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,31,4182,Spring 2018,Calculus II,15,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,32,4182,Spring 2018,Calculus II,22,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,33,4182,Spring 2018,Calculus II,17,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,34,4182,Spring 2018,Calculus II,12,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,42,4182,Spring 2018,Calculus II,14,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,43,4182,Spring 2018,Calculus II,19,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,51,4182,Spring 2018,Calculus II,12,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,52,4182,Spring 2018,Calculus II,23,DIS,"Appleton,Jay"
16300,Active,8733,MA,132,53,4182,Spring 2018,Calculus II,24,DIS,"Appleton,Jay"
16300,Active,8743,MA,232,22,4192,Spring 2019,Elementary Differential Eq,23,DIS,"Arshad,Alisha"
16300,Active,8743,MA,232,2,4219,Fall 2021,Elementary Differential Eq,79,LEC,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8743,MA,232,21,4219,Fall 2021,Elementary Differential Eq,26,DIS,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8743,MA,232,22,4219,Fall 2021,Elementary Differential Eq,24,DIS,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8743,MA,232,23,4219,Fall 2021,Elementary Differential Eq,9,DIS,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8743,MA,232,24,4219,Fall 2021,Elementary Differential Eq,20,DIS,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8775,MA,363,1,4212,Spring 2021,Mathematical Modeling,14,LEC,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8775,MA,363,1,4222,Spring 2022,Mathematical Modeling,0,LEC,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8776,MA,377,1,4209,Fall 2020,Numerical Methods,12,LEC,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8776,MA,377,1,4219,Fall 2021,Numerical Methods,12,LEC,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8776,MA,377,10,4209,Fall 2020,Numerical Methods,12,LAB,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8776,MA,377,10,4219,Fall 2021,Numerical Methods,12,LAB,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8830,MA,521,1,4222,Spring 2022,Classical Complex Analysis,0,LEC,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8842,MA,571,1,4212,Spring 2021,Numerical Solution of Diff Eq,12,LEC,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8905,MA,810,16,4212,Spring 2021,"Thesis, Dissertation or Sp Pro",2,THE,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8905,MA,810,16,4219,Fall 2021,"Thesis, Dissertation or Sp Pro",2,THE,"Asante-Asamani,Emmanuel Owusu"
16300,Active,8732,MA,131,5,4159,Fall 2015,Calculus I,35,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,03A,4209,Fall 2020,Calculus II,20,LEC,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,03B,4209,Fall 2020,Calculus II,27,LEC,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,1,4159,Fall 2015,Calculus II,56,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,2,4159,Fall 2015,Calculus II,109,LEC,"Kavanagh,Kathleen R"
16300,Active,8733,MA,132,31,4199,Fall 2019,Calculus II,22,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,31,4209,Fall 2020,Calculus II,20,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,32,4199,Fall 2019,Calculus II,12,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,32,4209,Fall 2020,Calculus II,13,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,33,4209,Fall 2020,Calculus II,14,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,41,4212,Spring 2021,Calculus II,12,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,42,4212,Spring 2021,Calculus II,11,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,43,4212,Spring 2021,Calculus II,25,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,44,4212,Spring 2021,Calculus II,14,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,61,4212,Spring 2021,Calculus II,12,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,62,4212,Spring 2021,Calculus II,10,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,63,4212,Spring 2021,Calculus II,10,DIS,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,64,4212,Spring 2021,Calculus II,4,DIS,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,2,4219,Fall 2021,Calculus III,55,LEC,"Athavale,Prashant Vinayak"
16300,Active,8742,MA,231,02A,4209,Fall 2020,Calculus III,35,LEC,"Athavale,Prashant Vinayak"
